t1,t2,t3,t4,CF12_34,CF13_24,CF14_23,ngenes
BarbMacaq,Bovine,Chimp,Crab-E.Ma,0.03,0.01,0.96,100.0
BarbMacaq,Bovine,Chimp,Gibbon,0.91,0.02,0.07,100.0
BarbMacaq,Bovine,Chimp,Gorilla,1.0,0.0,0.0,100.0
BarbMacaq,Bovine,Chimp,Human,1.0,0.0,0.0,100.0
BarbMacaq,Bovine,Chimp,Jpn_Macaq,0.03,0.01,0.96,100.0
BarbMacaq,Bovine,Chimp,Lemur,0.0,1.0,0.0,100.0
BarbMacaq,Bovine,Chimp,Mouse,0.0,1.0,0.0,100.0
BarbMacaq,Bovine,Chimp,Orang,1.0,0.0,0.0,100.0
BarbMacaq,Bovine,Chimp,Rhesus_Ma,0.03,0.01,0.96,100.0
BarbMacaq,Bovine,Chimp,Squir_Mon,0.0,1.0,0.0,100.0
BarbMacaq,Bovine,Chimp,Tarsier,0.0,1.0,0.0,100.0
BarbMacaq,Bovine,Crab-E.Ma,Gibbon,0.03,0.96,0.01,100.0
BarbMacaq,Bovine,Crab-E.Ma,Gorilla,0.03,0.96,0.01,100.0
BarbMacaq,Bovine,Crab-E.Ma,Human,0.03,0.96,0.01,100.0
BarbMacaq,Bovine,Crab-E.Ma,Jpn_Macaq,0.95,0.04,0.01,100.0
BarbMacaq,Bovine,Crab-E.Ma,Lemur,0.0,1.0,0.0,100.0
BarbMacaq,Bovine,Crab-E.Ma,Mouse,0.0,1.0,0.0,100.0
BarbMacaq,Bovine,Crab-E.Ma,Orang,0.03,0.96,0.01,100.0
BarbMacaq,Bovine,Crab-E.Ma,Rhesus_Ma,0.95,0.04,0.01,100.0
BarbMacaq,Bovine,Crab-E.Ma,Squir_Mon,0.0,1.0,0.0,100.0
BarbMacaq,Bovine,Crab-E.Ma,Tarsier,0.0,1.0,0.0,100.0
BarbMacaq,Bovine,Gibbon,Gorilla,0.91,0.07,0.02,100.0
BarbMacaq,Bovine,Gibbon,Human,0.91,0.07,0.02,100.0
BarbMacaq,Bovine,Gibbon,Jpn_Macaq,0.03,0.01,0.96,100.0
BarbMacaq,Bovine,Gibbon,Lemur,0.0,1.0,0.0,100.0
BarbMacaq,Bovine,Gibbon,Mouse,0.0,1.0,0.0,100.0
BarbMacaq,Bovine,Gibbon,Orang,0.91,0.07,0.02,100.0
BarbMacaq,Bovine,Gibbon,Rhesus_Ma,0.03,0.01,0.96,100.0
BarbMacaq,Bovine,Gibbon,Squir_Mon,0.0,1.0,0.0,100.0
BarbMacaq,Bovine,Gibbon,Tarsier,0.0,1.0,0.0,100.0
BarbMacaq,Bovine,Gorilla,Human,1.0,0.0,0.0,100.0
BarbMacaq,Bovine,Gorilla,Jpn_Macaq,0.03,0.01,0.96,100.0
BarbMacaq,Bovine,Gorilla,Lemur,0.0,1.0,0.0,100.0
BarbMacaq,Bovine,Gorilla,Mouse,0.0,1.0,0.0,100.0
BarbMacaq,Bovine,Gorilla,Orang,1.0,0.0,0.0,100.0
BarbMacaq,Bovine,Gorilla,Rhesus_Ma,0.03,0.01,0.96,100.0
BarbMacaq,Bovine,Gorilla,Squir_Mon,0.0,1.0,0.0,100.0
BarbMacaq,Bovine,Gorilla,Tarsier,0.0,1.0,0.0,100.0
BarbMacaq,Bovine,Human,Jpn_Macaq,0.03,0.01,0.96,100.0
BarbMacaq,Bovine,Human,Lemur,0.0,1.0,0.0,100.0
BarbMacaq,Bovine,Human,Mouse,0.0,1.0,0.0,100.0
BarbMacaq,Bovine,Human,Orang,1.0,0.0,0.0,100.0
BarbMacaq,Bovine,Human,Rhesus_Ma,0.03,0.01,0.96,100.0
BarbMacaq,Bovine,Human,Squir_Mon,0.0,1.0,0.0,100.0
BarbMacaq,Bovine,Human,Tarsier,0.0,1.0,0.0,100.0
BarbMacaq,Bovine,Jpn_Macaq,Lemur,0.0,1.0,0.0,100.0
BarbMacaq,Bovine,Jpn_Macaq,Mouse,0.0,1.0,0.0,100.0
BarbMacaq,Bovine,Jpn_Macaq,Orang,0.03,0.96,0.01,100.0
BarbMacaq,Bovine,Jpn_Macaq,Rhesus_Ma,1.0,0.0,0.0,100.0
BarbMacaq,Bovine,Jpn_Macaq,Squir_Mon,0.0,1.0,0.0,100.0
BarbMacaq,Bovine,Jpn_Macaq,Tarsier,0.0,1.0,0.0,100.0
BarbMacaq,Bovine,Lemur,Mouse,0.05,0.06,0.89,100.0
BarbMacaq,Bovine,Lemur,Orang,0.0,0.0,1.0,100.0
BarbMacaq,Bovine,Lemur,Rhesus_Ma,0.0,0.0,1.0,100.0
BarbMacaq,Bovine,Lemur,Squir_Mon,0.0,0.0,1.0,100.0
BarbMacaq,Bovine,Lemur,Tarsier,0.89,0.07,0.04,100.0
BarbMacaq,Bovine,Mouse,Orang,0.0,0.0,1.0,100.0
BarbMacaq,Bovine,Mouse,Rhesus_Ma,0.0,0.0,1.0,100.0
BarbMacaq,Bovine,Mouse,Squir_Mon,0.0,0.0,1.0,100.0
BarbMacaq,Bovine,Mouse,Tarsier,0.05,0.89,0.06,100.0
BarbMacaq,Bovine,Orang,Rhesus_Ma,0.03,0.01,0.96,100.0
BarbMacaq,Bovine,Orang,Squir_Mon,0.0,1.0,0.0,100.0
BarbMacaq,Bovine,Orang,Tarsier,0.0,1.0,0.0,100.0
BarbMacaq,Bovine,Rhesus_Ma,Squir_Mon,0.0,1.0,0.0,100.0
BarbMacaq,Bovine,Rhesus_Ma,Tarsier,0.0,1.0,0.0,100.0
BarbMacaq,Bovine,Squir_Mon,Tarsier,0.0,1.0,0.0,100.0
BarbMacaq,Chimp,Crab-E.Ma,Gibbon,0.0,1.0,0.0,100.0
BarbMacaq,Chimp,Crab-E.Ma,Gorilla,0.0,1.0,0.0,100.0
BarbMacaq,Chimp,Crab-E.Ma,Human,0.0,1.0,0.0,100.0
BarbMacaq,Chimp,Crab-E.Ma,Jpn_Macaq,0.95,0.04,0.01,100.0
BarbMacaq,Chimp,Crab-E.Ma,Lemur,0.01,0.96,0.03,100.0
BarbMacaq,Chimp,Crab-E.Ma,Mouse,0.01,0.96,0.03,100.0
BarbMacaq,Chimp,Crab-E.Ma,Orang,0.0,1.0,0.0,100.0
BarbMacaq,Chimp,Crab-E.Ma,Rhesus_Ma,0.95,0.04,0.01,100.0
BarbMacaq,Chimp,Crab-E.Ma,Squir_Mon,0.01,0.96,0.03,100.0
BarbMacaq,Chimp,Crab-E.Ma,Tarsier,0.01,0.96,0.03,100.0
BarbMacaq,Chimp,Gibbon,Gorilla,0.0,1.0,0.0,100.0
BarbMacaq,Chimp,Gibbon,Human,0.0,1.0,0.0,100.0
BarbMacaq,Chimp,Gibbon,Jpn_Macaq,0.0,0.0,1.0,100.0
BarbMacaq,Chimp,Gibbon,Lemur,0.02,0.07,0.91,100.0
BarbMacaq,Chimp,Gibbon,Mouse,0.02,0.07,0.91,100.0
BarbMacaq,Chimp,Gibbon,Orang,0.07,0.88,0.05,100.0
BarbMacaq,Chimp,Gibbon,Rhesus_Ma,0.0,0.0,1.0,100.0
BarbMacaq,Chimp,Gibbon,Squir_Mon,0.02,0.07,0.91,100.0
BarbMacaq,Chimp,Gibbon,Tarsier,0.02,0.07,0.91,100.0
BarbMacaq,Chimp,Gorilla,Human,0.1,0.85,0.05,100.0
BarbMacaq,Chimp,Gorilla,Jpn_Macaq,0.0,0.0,1.0,100.0
BarbMacaq,Chimp,Gorilla,Lemur,0.0,0.0,1.0,100.0
BarbMacaq,Chimp,Gorilla,Mouse,0.0,0.0,1.0,100.0
BarbMacaq,Chimp,Gorilla,Orang,0.05,0.02,0.93,100.0
BarbMacaq,Chimp,Gorilla,Rhesus_Ma,0.0,0.0,1.0,100.0
BarbMacaq,Chimp,Gorilla,Squir_Mon,0.0,0.0,1.0,100.0
BarbMacaq,Chimp,Gorilla,Tarsier,0.0,0.0,1.0,100.0
BarbMacaq,Chimp,Human,Jpn_Macaq,0.0,0.0,1.0,100.0
BarbMacaq,Chimp,Human,Lemur,0.0,0.0,1.0,100.0
BarbMacaq,Chimp,Human,Mouse,0.0,0.0,1.0,100.0
BarbMacaq,Chimp,Human,Orang,0.0,0.0,1.0,100.0
BarbMacaq,Chimp,Human,Rhesus_Ma,0.0,0.0,1.0,100.0
BarbMacaq,Chimp,Human,Squir_Mon,0.0,0.0,1.0,100.0
BarbMacaq,Chimp,Human,Tarsier,0.0,0.0,1.0,100.0
